Seed: 19910472 	Score: 0.877551 	Run time: 0.808574
Seed: 19910473 	Score: 0.750000 	Run time: 0.110065
Seed: 19910474 	Score: 0.770000 	Run time: 1.600734
Seed: 19910475 	Score: 0.818966 	Run time: 7.802290
Seed: 19910476 	Score: 0.787149 	Run time: 5.174850
Seed: 19910477 	Score: 0.845494 	Run time: 19.053680
Seed: 19910478 	Score: 0.735294 	Run time: 0.446317
Seed: 19910479 	Score: 0.785714 	Run time: 0.645459
Seed: 19910480 	Score: 0.824503 	Run time: 19.060994
Seed: 19910481 	Score: 0.811475 	Run time: 4.488653
Seed: 19910482 	Score: 0.687619 	Run time: 19.089627
Seed: 19910483 	Score: 0.738182 	Run time: 19.048071
Seed: 19910484 	Score: 0.742857 	Run time: 0.207647
Seed: 19910485 	Score: 0.629310 	Run time: 4.150237
Seed: 19910486 	Score: 0.808163 	Run time: 6.202050
Seed: 19910487 	Score: 0.755319 	Run time: 0.192686
Seed: 19910488 	Score: 0.807692 	Run time: 0.602428
Seed: 19910489 	Score: 0.666667 	Run time: 0.062544
Seed: 19910490 	Score: 0.850000 	Run time: 0.144103
Seed: 19910491 	Score: 0.849462 	Run time: 0.942762
Seed: 19910492 	Score: 0.757732 	Run time: 1.399561
Seed: 19910493 	Score: 0.780303 	Run time: 1.845315
Seed: 19910494 	Score: 0.642857 	Run time: 0.036564
Seed: 19910495 	Score: 0.656250 	Run time: 6.595722
Seed: 19910496 	Score: 0.856000 	Run time: 3.711812
Seed: 19910497 	Score: 0.826923 	Run time: 0.278699
Seed: 19910498 	Score: 0.630952 	Run time: 0.103076
Seed: 19910499 	Score: 0.817391 	Run time: 0.983311
Seed: 19910500 	Score: 0.853234 	Run time: 7.624888
Seed: 19910501 	Score: 0.803738 	Run time: 3.810283
Seed: 19910502 	Score: 0.744094 	Run time: 1.482085
Seed: 19910503 	Score: 0.791667 	Run time: 0.279229
Seed: 19910504 	Score: 0.852941 	Run time: 8.863041
Seed: 19910505 	Score: 0.757485 	Run time: 3.813383
Seed: 19910506 	Score: 0.650000 	Run time: 0.466832
Seed: 19910507 	Score: 0.704152 	Run time: 12.906401
Seed: 19910508 	Score: 0.785714 	Run time: 10.755236
Seed: 19910509 	Score: 0.784091 	Run time: 0.245676
Seed: 19910510 	Score: 0.791667 	Run time: 13.453516
